PRENOM,COUNT,AGE_FICTIF
PIERRE,11539,64.04298466071583
PRENOMS_RARES,11314,59.783630899770195
PAUL,11110,63.01890189018902
JEAN,10943,65.89061500502605
LOUIS_1,10534,63.71340421492311
ANTOINE,10170,58.74700098328417
FRANCOIS_2,10111,70.35822371674413
CHARLES,10090,66.64598612487612
GABRIEL_1,9746,62.741637594910735
MARC,9181,66.28319355190067
JOSEPH,8923,71.61089319735515
ALEXANDRE,8738,56.8067063401236
MICHEL,8736,73.48260073260073
JULIEN,8719,63.23626562679206
DANIEL,8436,67.41204362256994
ETIENNE_1,8178,68.25421863536317
HENRI,8155,77.62832618025752
JACQUES,8092,77.63136431043006
ANDRE_2,8031,80.33582368322749
GEORGES,7847,80.79355167579966
LUCIEN,7772,75.26042202779207
VICTOR,7666,60.347117140620924
PHILIPPE,7649,66.06641391031508
ADRIEN,7607,59.799000920205074
MARCEL,7344,81.35593681917211
MAXIME,7257,50.294887694639655
CAMILLE,7254,66.63578715191619
VINCENT,7238,53.40024868748273
CLEMENT_2,7214,53.81314111449959
ROBERT,7181,84.5291742097201
DENIS_1,7162,68.37796704831052
RAPHAEL_2,7001,43.71946864733609
RENE_2,6973,86.96199627133228
NICOLAS,6946,46.04592571264037
EDOUARD_1,6861,72.13438274304038
LAURENT,6855,64.23092633114516
CLAUDE,6822,76.44928173556141
YVES,6818,76.06878850102669
ROGER,6802,87.20317553660688
BERNARD,6763,80.22312583173148
CHRISTIAN,6729,67.03655818100758
JULES,6728,62.45719381688466
MAURICE,6632,88.29041013268998
EMILE_1,6617,79.25117122563096
ALEXIS_1,6604,48.567080557238036
REMI_2,6547,52.699098823888804
RAYMOND,6528,88.38848039215686
REMY_2,6479,59.84889643463497
ARMAND,6387,73.93596367621731
WILLIAM,6385,44.57588097102584
OLIVIER,6378,55.566635308874254
EMMANUEL,6310,55.47923930269414
ALBERT,6297,88.84135302525011
SIMON,6280,46.382006369426755
FREDERIC_3,6224,61.28422236503856
ALAIN,6168,65.61721789883268
GUY,6153,80.01917763692508
SYLVAIN,6141,56.97361993160723
GILBERT,6114,85.18792934249264
GERARD_2,6095,78.15307629204266
FRANCIS_1,6089,76.20134669075382
XAVIER,6082,56.13400197303518
LEON_2,5991,75.66065765314639
SERGE,5936,73.90296495956873
THOMAS,5881,36.05798333616732
DAVID,5838,39.70829051044878
BRUNO,5674,57.589354952414524
ROLAND,5670,80.61728395061728
MARIUS,5643,65.03118908382066
HUBERT,5628,80.17519545131485
GUILLAUME,5610,46.50802139037433
ARTHUR,5608,48.84878744650499
BENOIT_2,5559,50.00557654254362
SAMUEL_1,5492,33.99362709395484
DOMINIQUE,5443,66.2845857064119
MATHIEU,5416,39.90288035450517
FERNAND,5356,94.06534727408514
RICHARD,5312,60.26694277108434
BENJAMIN,5294,36.58575746127692
NOEL_2,5286,80.75066212637155
LUC,5270,51.85521821631878
ROMAIN,5232,38.499044342507645
GILLES,5228,63.003251721499616
ERIC_1,5197,51.520107754473734
BAPTISTE,5165,38.75895450145208
GASTON,5089,90.18923167616427
HERVE_2,5079,62.6522937586139
STEPHANE_2,5033,50.770117226306375
FELIX_2,4995,72.28428428428428
PASCAL,4954,60.1584578118692
CHRISTOPHE,4948,49.19320937752627
LOIC_2,4934,37.76327523307661
PATRICK,4929,56.34591194968554
ELIE_1,4916,71.17026037428803
JEAN-PIERRE,4900,66.9195918367347
JOEL_2,4886,59.64081047891936
YANN,4878,36.06006560065601
JEROME_1,4847,51.91376108933361
DAMIEN,4826,38.5159552424368
FRANCK,4788,50.19047619047619
MARIE,11672,63.435743660041126
PRENOMS_RARES,11588,60.668881601656885
HELENE_1,9895,71.37544214249621
JEANNE,9488,66.23661467116358
ANNE,9372,72.60115236875801
ALICE,9348,62.27845528455285
LUCIE,9058,60.42316184588209
CLAIRE,9009,63.88800088800089
CECILE_1,8810,69.76867196367763
JULIETTE,8496,62.302024482109225
LOUISE_1,8387,64.58888756408727
ELISE_1,8356,61.84238870272858
ALINE,8069,67.86119717437104
ELISABETH_1,7998,71.77544386096524
CHARLOTTE,7579,56.76105027048423
GABRIELLE,7482,69.13605987703822
MARIA,7326,71.88356538356538
ANNA,7324,60.040824685963955
FRANCOISE_1,7295,81.17148732008225
CAMILLE,7295,54.01946538725154
ROSE,7245,68.86694271911664
MATHILDE,7200,55.12027777777778
SUZANNE,7195,79.2769979152189
ISABELLE,6996,66.82975986277873
LEA_1,6947,56.28904563120771
MADELEINE,6705,83.65145413870246
CATHERINE_1,6683,69.81370641927278
EMILIE_1,6567,55.353586112380086
AGNES_1,6542,69.53485172730052
GENEVIEVE_1,6492,85.15988909426987
PAULINE,6438,54.45806150978565
LAURE,6423,58.054958742020865
JULIE,6415,50.65845674201091
THERESE_1,6354,87.97733711048159
SOPHIE,6354,47.63125590179415
DENISE,6273,89.50055794675593
MARGUERITE,6126,88.80656219392752
IRENE_1,5922,86.1870989530564
CELINE_1,5892,57.02494908350305
ANDREE,5874,91.4334354783793
JACQUELINE,5869,80.0279434315897
SOLANGE,5850,83.72752136752136
LYDIE,5819,64.9200893624334
CLEMENCE_1,5799,50.86445938954992
JULIA_1,5793,51.7212152597963
RENEE,5781,92.38159487977859
SIMONE,5745,90.31610095735422
MYRIAM,5687,45.044839106734656
EMMA_1,5657,51.08467385540039
MARCELLE,5618,93.80099679601281
ODETTE,5538,92.07258938244854
AMELIE_1,5536,56.190570809248555
BERNADETTE,5526,80.26366268548679
YVONNE,5517,94.09479789740801
ANGELE_1,5507,76.75013619030325
RAYMONDE,5501,92.15288129431012
CHRISTIANE,5482,79.94491061656329
YVETTE,5423,86.30260003687995
ODILE,5420,76.58321033210332
SARAH,5418,30.982281284606866
GISELE_1,5399,81.14169290609372
LUCIENNE,5381,93.92900947779223
PAULETTE,5370,90.57374301675978
MIREILLE,5361,77.17832493937698
CAROLINE,5339,47.69488668289942
MONIQUE,5318,76.95975930801053
COLETTE,5315,79.37572906867356
EVA_1,5277,42.583475459541404
MARIE-THERESE_2,5235,83.56160458452722
GEORGETTE,5201,94.92578350317247
LAURENCE,5191,68.55846657676749
NELLY,5179,62.4734504730643
RACHEL,5171,54.46219299941984
CLAUDINE,5151,73.86876334692293
ANNE-MARIE,5145,74.22934888241011
HENRIETTE,5100,95.82490196078432
ANTOINETTE,5057,93.35436029266363
ELIANE_1,5022,80.36280366387894
CHRISTINE,5004,62.33872901678657
MELANIE_1,4960,53.480645161290326
LEONIE_1,4916,61.518714401952806
NICOLE,4904,72.54955138662316
GERMAINE,4883,97.4863813229572
SYLVIE,4876,60.87264150943396
EDITH_1,4861,76.34313927175478
FRANCINE_1,4854,81.45241038318912
PIERRETTE,4820,85.13174273858921
FLORENCE,4751,55.010524100189436
MICHELLE_1,4734,75.24735952682721
ESTELLE,4713,42.37640568639932
MARTHE,4703,95.99340846268339
ANNIE,4702,69.34113143343258
YOLANDE,4653,81.02256608639587
ANAIS_1,4642,35.1973287376131
ANDREA_2,4636,56.347713546160485
VIRGINIE,4607,57.16843933145214
JOSEPHINE_1,4598,82.83318834275772
EUGENIE_1,4588,79.9317785527463
SONIA,4586,46.31290885303096
VALENTINE,4540,52.887224669603526
